address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2369 S Playa Ave,Fresno,CA,93727,293000,2445.0,4.0,3.0,42,Auction,http://www.zillow.com/homes/for_sale//homedetails/2369-S-Playa-Ave-Fresno-CA-93727/89468709_zpid/
6951 E Princeton Ave,Fresno,CA,93727,262000,2000.0,4.0,3.5,51,Auction,http://www.zillow.com/homes/for_sale//homedetails/6951-E-Princeton-Ave-Fresno-CA-93727/95472213_zpid/
772 S Burgan Ave,Fresno,CA,93727,223000,1445.0,3.0,2.0,336,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/772-S-Burgan-Ave-Fresno-CA-93727/79525599_zpid/
4820 E Laurel Ave,Fresno,CA,93727,399995,6300.0,15.0,10.0,150,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/4820-E-Laurel-Ave-Fresno-CA-93727/2108811591_zpid/
5730 E Lorena Ave,Fresno,CA,93727,269000,2191.0,4.0,2.0,372,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5730-E-Lorena-Ave-Fresno-CA-93727/54660745_zpid/
1208 S Clover Ave,Fresno,CA,93727,264990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673492_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1184 S Clover Ave,Fresno,CA,93727,282990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091539737_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
748 N Willow Ave,Fresno,CA,93727,239900,1693.0,4.0,2.0,48,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/748-N-Willow-Ave-Fresno-CA-93727/18753335_zpid/
1181 S Clover Ave,Fresno,CA,93727,264990,1923.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673493_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1170 S Arroyo Ave,Fresno,CA,93727,264990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093036852_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5123 E Kerckhoff,FRESNO,CA,93727,246000,1897.0,5.0,2.5,1304,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5123-E-Kerckhoff-Fresno-CA-93727/63103023_zpid/
6367 E Huntington Ave,Fresno,CA,93727,234000,1700.0,4.0,2.0,1919,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6367-E-Huntington-Ave-Fresno-CA-93727/63180092_zpid/
1182 S Arroyo Ave,Fresno,CA,93727,298990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2092831860_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1190 S Winery Ave APT 124,Fresno,CA,93727,49999,679.0,1.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1190-S-Winery-Ave-APT-124-Fresno-CA-93727/18767146_zpid/
1205 S Clover Ave,Fresno,CA,93727,264990,1492.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673495_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5094 E Washington Ave,Fresno,CA,93727,209000,1816.0,3.0,2.0,416,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5094-E-Washington-Ave-Fresno-CA-93727/18759151_zpid/
645 S Minnewawa Ave,Fresno,CA,93727,NA,NA,NA,NA,1810,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/645-S-Minnewawa-Ave-Fresno-CA-93727/64591478_zpid/
1169 S Clover Ave,Fresno,CA,93727,298990,1740.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673497_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1059 S Dee Ann Ave,Fresno,CA,93727,270990,1728.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094372477_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3084 N Arroyo Ave,Fresno,CA,93727,299000,1872.0,4.0,3.0,134,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/3084-N-Arroyo-Ave-Fresno-CA-93727/89468379_zpid/
