address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,zestimate,zRange,builtIn,builtBy,comName,parking
address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,zestimate,zRange,builtIn,builtBy,comName,parking
2589 N Whittier Ave,Fresno,CA,93727,334464,2165.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2589-N-Whittier-Ave-Fresno-CA-93727/2091075560_zpid/,NA,NA,NA,NA,NA,NA
5314 E Lyell Ave,Fresno,CA,93727,302250,1989.0,4.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5314-E-Lyell-Ave-Fresno-CA-93727/2091174084_zpid/,"$293,364","$267,000-$326,000",NA,NA,NA, 2 spaces
1302 S Orangewood Dr,Fresno,CA,93727,270250,1580.0,3.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/1302-S-Orangewood-Dr-Fresno-CA-93727/2091174087_zpid/,"$258,258","$243,000-$292,000",NA,NA,NA, 2 spaces
5386 E Orleans Ave,Fresno,CA,93727,165000,NA,NA,NA,15,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5386-E-Orleans-Ave-Fresno-CA-93727/95468990_zpid/,We,UnavailableLAST30,Amenities,NA,Accessibility,Vacant Land
5994 E Dayton Ave,Fresno,CA,93727,221000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/5994-E-Dayton-Ave-Fresno-CA-93727/18778326_zpid/,NA,NA,NA,NA,NA,NA
5341 E Liberty Ave,Fresno,CA,93727,310250,1989.0,4.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5341-E-Liberty-Ave-Fresno-CA-93727/2091174086_zpid/,"$293,364","$267,000-$326,000",NA,NA,NA, 2 spaces
5778 E Alta Ave UNIT 103,Fresno,CA,93727,300000,3994.0,6.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5778-E-Alta-Ave-UNIT-103-Fresno-CA-93727/18768985_zpid/,"$374,721","$277,000-$393,000",1973,NA,Condo,4 spaces
5523 E Geary St,FRESNO,CA,93727,276000,2348.0,4.0,3.0,716,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5523-E-Geary-St-Fresno-CA-93727/79534923_zpid/,"$307,874","$292,000-$323,000",2006,NA,Single Family,1 space
2369 S Playa Ave,Fresno,CA,93727,293000,2445.0,4.0,3.0,42,Auction,http://www.zillow.com/homes/for_sale//homedetails/2369-S-Playa-Ave-Fresno-CA-93727/89468709_zpid/,"$320,805","$305,000-$337,000",2007,NA,Single Family,2 spaces
6951 E Princeton Ave,Fresno,CA,93727,262000,2000.0,4.0,3.5,51,Auction,http://www.zillow.com/homes/for_sale//homedetails/6951-E-Princeton-Ave-Fresno-CA-93727/95472213_zpid/,NA,NA,2009,NA,Single Family,No Data
772 S Burgan Ave,Fresno,CA,93727,223000,1445.0,3.0,2.0,336,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/772-S-Burgan-Ave-Fresno-CA-93727/79525599_zpid/,"$242,191","$230,000-$254,000",2007,NA,Single Family,Attached Garage
4820 E Laurel Ave,Fresno,CA,93727,399995,6300.0,15.0,10.0,150,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/4820-E-Laurel-Ave-Fresno-CA-93727/2108811591_zpid/,"$525,854","$379,000-$705,000",2014,NA,Multi Family,No Data
